# Per-model hold q on the hand layout for all 6,723 BPMN models in the 15-40 band,
# the population behind results/bpmn_representativeness.py and the paper's 0.87.
# Source: bpmai.tar.gz, sha256 7c40fe0c13f78943f1600f09203c30d83c41fd6c71b81902367bf057a73f947a.
# Funnel: 29,810 models archived; parsers/parse_bpmn.py parses 21,784 (>= 10 nodes, >= 1 edge);
# 13,435 have every edge a BPMN flow or association; data/make_corpus.py --bpmn keeps their
# largest component of 15 to 40 nodes, 6,723 graphs (bpmn_all.txt); data/bpmn.txt is the first 300 by id.
# Each column is the q of `station direct --corpus bpmn_all.txt --weights W`, one weight set:
# overlap 0,1,0,0,0,0,0,0; length 0,0,1,0,0,0,0,0 (--L fit); stress 0,0,0,1,0,0,0,0;
# alignA1 0,0,0,0,0,1,0,0 --align a1; flow 0,0,0,0,0,0,0,1.
id,overlap,length,stress,alignA1,flow
1031585442.json,1.000000,0.000000,0.000000,0.358974,0.538462
1031642567.json,1.000000,0.000000,0.000000,1.000000,0.526316
1031711789.json,1.000000,0.000000,0.000000,0.550000,0.800000
1032099534.json,1.000000,0.000000,0.000000,0.583333,1.000000
1032482829.json,1.000000,0.000000,0.000000,0.933333,0.866667
1032995931.json,1.000000,0.025000,0.075000,1.000000,0.900000
1033239968.json,1.000000,0.000000,0.000000,0.730769,0.846154
1033711844.json,1.000000,0.000000,0.027027,0.486486,0.756757
1033978385.json,1.000000,0.000000,0.000000,1.000000,0.882353
1034187908.json,1.000000,0.000000,0.000000,1.000000,1.000000
1034715661.json,1.000000,0.000000,0.000000,1.000000,0.733333
1034897705.json,1.000000,0.000000,0.000000,0.909091,0.727273
1034919934.json,1.000000,0.000000,0.000000,1.000000,0.950000
1035058931.json,1.000000,0.000000,0.000000,0.578947,0.736842
1035193139.json,1.000000,0.000000,0.000000,0.409091,1.000000
1035274499.json,1.000000,0.000000,0.000000,0.846154,0.948718
1035394039.json,1.000000,0.000000,0.000000,1.000000,0.923077
103548326.json,1.000000,0.058824,0.000000,1.000000,0.558824
1035605564.json,1.000000,0.000000,0.000000,1.000000,0.904762
1036372461.json,1.000000,0.000000,0.000000,0.214286,0.464286
1036482855.json,1.000000,0.000000,0.000000,0.948718,0.692308
1036681871.json,1.000000,0.000000,0.038462,0.923077,1.000000
1037263320.json,0.500000,0.000000,0.000000,0.925000,0.850000
1037531241.json,1.000000,0.000000,0.000000,1.000000,0.733333
1037559497.json,1.000000,0.000000,0.000000,0.733333,0.866667
1037584453.json,1.000000,0.000000,0.000000,0.807692,0.923077
1038050553.json,1.000000,0.000000,0.000000,1.000000,0.857143
1038278203.json,1.000000,0.000000,0.000000,0.217391,0.869565
1038331594.json,1.000000,0.000000,0.000000,1.000000,1.000000
1038896099.json,0.923077,0.038462,0.000000,0.692308,0.923077
1039155719.json,1.000000,0.000000,0.000000,0.966667,0.633333
1039199550.json,1.000000,0.000000,0.000000,0.466667,0.733333
1041215828.json,1.000000,0.000000,0.000000,1.000000,1.000000
1042142536.json,1.000000,0.000000,0.000000,0.800000,1.000000
1042317506.json,0.542857,0.000000,0.142857,0.857143,1.000000
1043130788.json,1.000000,0.000000,0.000000,0.357143,0.928571
1043134396.json,0.562500,0.000000,0.000000,0.562500,0.875000
1043256737.json,1.000000,0.000000,0.000000,1.000000,0.636364
1043375091.json,1.000000,0.000000,0.052632,0.947368,0.578947
1043553918.json,1.000000,0.000000,0.000000,1.000000,1.000000
1043673241.json,1.000000,0.000000,0.066667,0.733333,1.000000
1043716184.json,1.000000,0.000000,0.000000,1.000000,0.821429
1043844309.json,1.000000,0.000000,0.000000,1.000000,1.000000
1044157575.json,1.000000,0.000000,0.000000,1.000000,0.650000
1044333950.json,1.000000,0.000000,0.000000,1.000000,0.941176
