id,author
Hs_Estrogen_signaling_WP712_20251121,Lauravanzon
Hs_Estrogen_synthesis_and_metabolism_WP5276_20260227,Conroy lipids
Hs_Ethanol_effects_on_histone_modifications_WP3996_20251121,Fehrhart
Hs_Ethylmalonic_encephalopathy_WP5030_20250826,DeSl
Hs_FGFR3_signaling_in_chondrocyte_proliferation_and_terminal_differentiation_WP4767_20251122,Rlee
Hs_Factors_and_pathways_affecting_insulin-like_growth_factor_(IGF1)-Akt_signaling_WP3850_20251123,AlexanderPico
Hs_Familial__hyperlipidemia_type_1_WP5108_20251123,UlasBabayigit
Hs_Familial_hyperlipidemia_type_2_WP5109_20251123,UlasBabayigit
Hs_Familial_hyperlipidemia_type_3_WP5110_20251123,UlasBabayigit
Hs_Familial_hyperlipidemia_type_4_WP5111_20251123,UlasBabayigit
Hs_Familial_hyperlipidemia_type_5_WP5112_20251123,UlasBabayigit
Hs_Familial_partial_lipodystrophy_WP5102_20251123,UlasBabayigit
Hs_Fas_ligand_pathway_and_stress_induction_of_heat_shock_proteins_WP314_20251123,169.230.77.174
Hs_Fatty_acid_and_lipoprotein_transport_in_hepatocytes_WP5323_20251123,LLadeira
Hs_Fatty_acid_biosynthesis_WP357_20251123,Kdahlquist
Hs_Female_steroid_hormones_in_cardiomyocyte_energy_metabolism_WP5318_20250725,Mehaa
Hs_Fluoropyrimidine_activity_WP1601_20260102,AlexanderPico
Hs_Focal_adhesion_WP306_20250830,169.230.77.174
Hs_Folate-alcohol_and_cancer_pathway_hypotheses_WP1589_20251123,Whom
Hs_Frustrated_phagocytosis_leading_to_malignant_pleural_mesothelioma_WP5091_20251124,Marvin M2
Hs_GABA_and_glutamate_signalling_in_epileptogenesis_WP5600_20260206,Duan
Hs_GABA_receptor_signaling_WP4159_20251020,DeSl
Hs_GDNF-RET_signaling_axis_WP4830_20250812,Fehrhart
Hs_GIP_and_GLP-1_function_by_tissue_WP5509_20251031,Eweitz
Hs_GPR143_in_melanocytes_and_retinal_pigment_epithelium_cells_WP4941_20250801,Victor Marx
Hs_Gamma-glutamyl_cycle_for_the_biosynthesis_and_degradation_of_glutathione_WP4518_20251123,LobkeM
Hs_Ganglio_series_sphingolipid_metabolism_WP5299_20251123,Conroy lipids
Hs_Gastric_cancer_network_1_WP2361_20251123,Khanspers
Hs_Gastric_cancer_network_2_WP2363_20251123,Khanspers
Hs_Genetic_causes_of_porto-sinusoidal_vascular_disease_WP5269_20250809,Fehrhart
Hs_Glucose_metabolism_in_triple-negative_breast_cancer_cells_WP5211_20251123,Andra
