corpus,layout,routes,term,d,dirs,L,median_q
hs,hand,chords,stress,0.05,8,rsqrt,0.000
hs,hand,chords,stress,0.05,16,fit,0.000
hs,hand,chords,stress,0.05,16,median,0.000
hs,hand,chords,stress,0.05,16,rsqrt,0.000
hs,hand,chords,stress,0.05,32,fit,0.000
hs,hand,chords,stress,0.05,32,median,0.000
hs,hand,chords,stress,0.05,32,rsqrt,0.000
hs,hand,chords,stress,0.05,64,fit,0.000
hs,hand,chords,stress,0.05,64,median,0.000
hs,hand,chords,stress,0.05,64,rsqrt,0.000
hs,hand,chords,A1,0.005,8,fit,0.583
hs,hand,chords,A1,0.005,16,fit,0.522
hs,hand,chords,A1,0.005,32,fit,0.452
hs,hand,chords,A1,0.005,64,fit,0.406
hs,hand,chords,A1,0.01,8,fit,0.588
hs,hand,chords,A1,0.01,16,fit,0.538
hs,hand,chords,A1,0.01,32,fit,0.483
hs,hand,chords,A1,0.01,64,fit,0.412
hs,hand,chords,A1,0.02,8,fit,0.579
hs,hand,chords,A1,0.02,16,fit,0.520
hs,hand,chords,A1,0.02,32,fit,0.467
hs,hand,chords,A1,0.02,64,fit,0.391
hs,hand,chords,A1,0.05,8,fit,0.500
hs,hand,chords,A1,0.05,16,fit,0.436
hs,hand,chords,A1,0.05,32,fit,0.375
hs,hand,chords,A1,0.05,64,fit,0.286
hs,neato,stored,length,0.005,8,fit,0.054
hs,neato,stored,length,0.005,8,median,0.071
hs,neato,stored,length,0.005,8,rsqrt,0.000
hs,neato,stored,length,0.005,16,fit,0.042
hs,neato,stored,length,0.005,16,median,0.065
hs,neato,stored,length,0.005,16,rsqrt,0.000
hs,neato,stored,length,0.005,32,fit,0.033
hs,neato,stored,length,0.005,32,median,0.062
hs,neato,stored,length,0.005,32,rsqrt,0.000
hs,neato,stored,length,0.005,64,fit,0.031
hs,neato,stored,length,0.005,64,median,0.059
hs,neato,stored,length,0.005,64,rsqrt,0.000
hs,neato,stored,length,0.01,8,fit,0.130
hs,neato,stored,length,0.01,8,median,0.167
hs,neato,stored,length,0.01,8,rsqrt,0.000
hs,neato,stored,length,0.01,16,fit,0.115
hs,neato,stored,length,0.01,16,median,0.133
hs,neato,stored,length,0.01,16,rsqrt,0.000
hs,neato,stored,length,0.01,32,fit,0.100
hs,neato,stored,length,0.01,32,median,0.125
hs,neato,stored,length,0.01,32,rsqrt,0.000
hs,neato,stored,length,0.01,64,fit,0.091
hs,neato,stored,length,0.01,64,median,0.125
hs,neato,stored,length,0.01,64,rsqrt,0.000
hs,neato,stored,length,0.02,8,fit,0.294
hs,neato,stored,length,0.02,8,median,0.321
hs,neato,stored,length,0.02,8,rsqrt,0.000
hs,neato,stored,length,0.02,16,fit,0.235
hs,neato,stored,length,0.02,16,median,0.261
hs,neato,stored,length,0.02,16,rsqrt,0.000
hs,neato,stored,length,0.02,32,fit,0.200
hs,neato,stored,length,0.02,32,median,0.233
hs,neato,stored,length,0.02,32,rsqrt,0.000
hs,neato,stored,length,0.02,64,fit,0.200
hs,neato,stored,length,0.02,64,median,0.212
hs,neato,stored,length,0.02,64,rsqrt,0.000
hs,neato,stored,length,0.05,8,fit,0.622
hs,neato,stored,length,0.05,8,median,0.625
hs,neato,stored,length,0.05,8,rsqrt,0.034
hs,neato,stored,length,0.05,16,fit,0.471
hs,neato,stored,length,0.05,16,median,0.500
hs,neato,stored,length,0.05,16,rsqrt,0.026
hs,neato,stored,length,0.05,32,fit,0.405
hs,neato,stored,length,0.05,32,median,0.424
hs,neato,stored,length,0.05,32,rsqrt,0.026
hs,neato,stored,length,0.05,64,fit,0.375
hs,neato,stored,length,0.05,64,median,0.400
hs,neato,stored,length,0.05,64,rsqrt,0.026
hs,neato,stored,stress,0.005,8,fit,0.929
hs,neato,stored,stress,0.005,8,median,0.000
hs,neato,stored,stress,0.005,8,rsqrt,0.000
hs,neato,stored,stress,0.005,16,fit,0.905
hs,neato,stored,stress,0.005,16,median,0.000
hs,neato,stored,stress,0.005,16,rsqrt,0.000
hs,neato,stored,stress,0.005,32,fit,0.900
hs,neato,stored,stress,0.005,32,median,0.000
hs,neato,stored,stress,0.005,32,rsqrt,0.000
hs,neato,stored,stress,0.005,64,fit,0.900
hs,neato,stored,stress,0.005,64,median,0.000
hs,neato,stored,stress,0.005,64,rsqrt,0.000
hs,neato,stored,stress,0.01,8,fit,0.969
hs,neato,stored,stress,0.01,8,median,0.038
hs,neato,stored,stress,0.01,8,rsqrt,0.000
hs,neato,stored,stress,0.01,16,fit,0.958
hs,neato,stored,stress,0.01,16,median,0.037
hs,neato,stored,stress,0.01,16,rsqrt,0.000
hs,neato,stored,stress,0.01,32,fit,0.955
hs,neato,stored,stress,0.01,32,median,0.037
hs,neato,stored,stress,0.01,32,rsqrt,0.000
hs,neato,stored,stress,0.01,64,fit,0.950
hs,neato,stored,stress,0.01,64,median,0.037
hs,neato,stored,stress,0.01,64,rsqrt,0.000
hs,neato,stored,stress,0.02,8,fit,1.000
hs,neato,stored,stress,0.02,8,median,0.067
hs,neato,stored,stress,0.02,8,rsqrt,0.000
hs,neato,stored,stress,0.02,16,fit,1.000
hs,neato,stored,stress,0.02,16,median,0.067
hs,neato,stored,stress,0.02,16,rsqrt,0.000
hs,neato,stored,stress,0.02,32,fit,1.000
hs,neato,stored,stress,0.02,32,median,0.067
hs,neato,stored,stress,0.02,32,rsqrt,0.000
hs,neato,stored,stress,0.02,64,fit,1.000
hs,neato,stored,stress,0.02,64,median,0.067
hs,neato,stored,stress,0.02,64,rsqrt,0.000
hs,neato,stored,stress,0.05,8,fit,1.000
hs,neato,stored,stress,0.05,8,median,0.208
hs,neato,stored,stress,0.05,8,rsqrt,0.030
hs,neato,stored,stress,0.05,16,fit,1.000
hs,neato,stored,stress,0.05,16,median,0.200
hs,neato,stored,stress,0.05,16,rsqrt,0.029
hs,neato,stored,stress,0.05,32,fit,1.000
hs,neato,stored,stress,0.05,32,median,0.200
hs,neato,stored,stress,0.05,32,rsqrt,0.029
hs,neato,stored,stress,0.05,64,fit,1.000
hs,neato,stored,stress,0.05,64,median,0.200
hs,neato,stored,stress,0.05,64,rsqrt,0.029
hs,neato,stored,A1,0.005,8,fit,0.067
hs,neato,stored,A1,0.005,16,fit,0.038
hs,neato,stored,A1,0.005,32,fit,0.000
hs,neato,stored,A1,0.005,64,fit,0.000
hs,neato,stored,A1,0.01,8,fit,0.097
hs,neato,stored,A1,0.01,16,fit,0.051
hs,neato,stored,A1,0.01,32,fit,0.000
hs,neato,stored,A1,0.01,64,fit,0.000
hs,neato,stored,A1,0.02,8,fit,0.111
hs,neato,stored,A1,0.02,16,fit,0.062
hs,neato,stored,A1,0.02,32,fit,0.032
hs,neato,stored,A1,0.02,64,fit,0.000
hs,neato,stored,A1,0.05,8,fit,0.111
hs,neato,stored,A1,0.05,16,fit,0.059
hs,neato,stored,A1,0.05,32,fit,0.045
hs,neato,stored,A1,0.05,64,fit,0.028
sbgn,hand,stored,length,0.005,8,fit,0.000
sbgn,hand,stored,length,0.005,8,median,0.029
sbgn,hand,stored,length,0.005,8,rsqrt,0.000
sbgn,hand,stored,length,0.005,16,fit,0.000
