corpus,layout,routes,term,d,dirs,L,median_q
sbgn,hand,chords,stress,0.05,16,fit,0.000
sbgn,hand,chords,stress,0.05,16,median,0.000
sbgn,hand,chords,stress,0.05,16,rsqrt,0.000
sbgn,hand,chords,stress,0.05,32,fit,0.000
sbgn,hand,chords,stress,0.05,32,median,0.000
sbgn,hand,chords,stress,0.05,32,rsqrt,0.000
sbgn,hand,chords,stress,0.05,64,fit,0.000
sbgn,hand,chords,stress,0.05,64,median,0.000
sbgn,hand,chords,stress,0.05,64,rsqrt,0.000
sbgn,hand,chords,A1,0.005,8,fit,0.197
sbgn,hand,chords,A1,0.005,16,fit,0.121
sbgn,hand,chords,A1,0.005,32,fit,0.066
sbgn,hand,chords,A1,0.005,64,fit,0.059
sbgn,hand,chords,A1,0.01,8,fit,0.278
sbgn,hand,chords,A1,0.01,16,fit,0.167
sbgn,hand,chords,A1,0.01,32,fit,0.100
sbgn,hand,chords,A1,0.01,64,fit,0.061
sbgn,hand,chords,A1,0.02,8,fit,0.314
sbgn,hand,chords,A1,0.02,16,fit,0.208
sbgn,hand,chords,A1,0.02,32,fit,0.136
sbgn,hand,chords,A1,0.02,64,fit,0.074
sbgn,hand,chords,A1,0.05,8,fit,0.277
sbgn,hand,chords,A1,0.05,16,fit,0.194
sbgn,hand,chords,A1,0.05,32,fit,0.125
sbgn,hand,chords,A1,0.05,64,fit,0.068
sbgn,neato,stored,length,0.005,8,fit,0.098
sbgn,neato,stored,length,0.005,8,median,0.127
sbgn,neato,stored,length,0.005,8,rsqrt,0.000
sbgn,neato,stored,length,0.005,16,fit,0.074
sbgn,neato,stored,length,0.005,16,median,0.113
sbgn,neato,stored,length,0.005,16,rsqrt,0.000
sbgn,neato,stored,length,0.005,32,fit,0.066
sbgn,neato,stored,length,0.005,32,median,0.100
sbgn,neato,stored,length,0.005,32,rsqrt,0.000
sbgn,neato,stored,length,0.005,64,fit,0.062
sbgn,neato,stored,length,0.005,64,median,0.091
sbgn,neato,stored,length,0.005,64,rsqrt,0.000
sbgn,neato,stored,length,0.01,8,fit,0.235
sbgn,neato,stored,length,0.01,8,median,0.294
sbgn,neato,stored,length,0.01,8,rsqrt,0.000
sbgn,neato,stored,length,0.01,16,fit,0.191
sbgn,neato,stored,length,0.01,16,median,0.227
sbgn,neato,stored,length,0.01,16,rsqrt,0.000
sbgn,neato,stored,length,0.01,32,fit,0.176
sbgn,neato,stored,length,0.01,32,median,0.200
sbgn,neato,stored,length,0.01,32,rsqrt,0.000
sbgn,neato,stored,length,0.01,64,fit,0.164
sbgn,neato,stored,length,0.01,64,median,0.194
sbgn,neato,stored,length,0.01,64,rsqrt,0.000
sbgn,neato,stored,length,0.02,8,fit,0.467
sbgn,neato,stored,length,0.02,8,median,0.516
sbgn,neato,stored,length,0.02,8,rsqrt,0.000
sbgn,neato,stored,length,0.02,16,fit,0.354
sbgn,neato,stored,length,0.02,16,median,0.407
sbgn,neato,stored,length,0.02,16,rsqrt,0.000
sbgn,neato,stored,length,0.02,32,fit,0.315
sbgn,neato,stored,length,0.02,32,median,0.342
sbgn,neato,stored,length,0.02,32,rsqrt,0.000
sbgn,neato,stored,length,0.02,64,fit,0.286
sbgn,neato,stored,length,0.02,64,median,0.324
sbgn,neato,stored,length,0.02,64,rsqrt,0.000
sbgn,neato,stored,length,0.05,8,fit,0.734
sbgn,neato,stored,length,0.05,8,median,0.750
sbgn,neato,stored,length,0.05,8,rsqrt,0.037
sbgn,neato,stored,length,0.05,16,fit,0.579
sbgn,neato,stored,length,0.05,16,median,0.615
sbgn,neato,stored,length,0.05,16,rsqrt,0.032
sbgn,neato,stored,length,0.05,32,fit,0.492
sbgn,neato,stored,length,0.05,32,median,0.536
sbgn,neato,stored,length,0.05,32,rsqrt,0.032
sbgn,neato,stored,length,0.05,64,fit,0.440
sbgn,neato,stored,length,0.05,64,median,0.479
sbgn,neato,stored,length,0.05,64,rsqrt,0.032
sbgn,neato,stored,stress,0.005,8,fit,0.967
sbgn,neato,stored,stress,0.005,8,median,0.000
sbgn,neato,stored,stress,0.005,8,rsqrt,0.000
sbgn,neato,stored,stress,0.005,16,fit,0.957
sbgn,neato,stored,stress,0.005,16,median,0.000
sbgn,neato,stored,stress,0.005,16,rsqrt,0.000
sbgn,neato,stored,stress,0.005,32,fit,0.955
sbgn,neato,stored,stress,0.005,32,median,0.000
sbgn,neato,stored,stress,0.005,32,rsqrt,0.000
sbgn,neato,stored,stress,0.005,64,fit,0.951
sbgn,neato,stored,stress,0.005,64,median,0.000
sbgn,neato,stored,stress,0.005,64,rsqrt,0.000
sbgn,neato,stored,stress,0.01,8,fit,1.000
sbgn,neato,stored,stress,0.01,8,median,0.035
sbgn,neato,stored,stress,0.01,8,rsqrt,0.000
sbgn,neato,stored,stress,0.01,16,fit,1.000
sbgn,neato,stored,stress,0.01,16,median,0.034
sbgn,neato,stored,stress,0.01,16,rsqrt,0.000
sbgn,neato,stored,stress,0.01,32,fit,1.000
sbgn,neato,stored,stress,0.01,32,median,0.034
sbgn,neato,stored,stress,0.01,32,rsqrt,0.000
sbgn,neato,stored,stress,0.01,64,fit,1.000
sbgn,neato,stored,stress,0.01,64,median,0.034
sbgn,neato,stored,stress,0.01,64,rsqrt,0.000
sbgn,neato,stored,stress,0.02,8,fit,1.000
sbgn,neato,stored,stress,0.02,8,median,0.087
sbgn,neato,stored,stress,0.02,8,rsqrt,0.000
sbgn,neato,stored,stress,0.02,16,fit,1.000
sbgn,neato,stored,stress,0.02,16,median,0.082
sbgn,neato,stored,stress,0.02,16,rsqrt,0.000
sbgn,neato,stored,stress,0.02,32,fit,1.000
sbgn,neato,stored,stress,0.02,32,median,0.080
sbgn,neato,stored,stress,0.02,32,rsqrt,0.000
sbgn,neato,stored,stress,0.02,64,fit,1.000
sbgn,neato,stored,stress,0.02,64,median,0.079
sbgn,neato,stored,stress,0.02,64,rsqrt,0.000
sbgn,neato,stored,stress,0.05,8,fit,1.000
sbgn,neato,stored,stress,0.05,8,median,0.267
sbgn,neato,stored,stress,0.05,8,rsqrt,0.000
sbgn,neato,stored,stress,0.05,16,fit,1.000
sbgn,neato,stored,stress,0.05,16,median,0.261
sbgn,neato,stored,stress,0.05,16,rsqrt,0.000
sbgn,neato,stored,stress,0.05,32,fit,1.000
sbgn,neato,stored,stress,0.05,32,median,0.254
sbgn,neato,stored,stress,0.05,32,rsqrt,0.000
sbgn,neato,stored,stress,0.05,64,fit,1.000
sbgn,neato,stored,stress,0.05,64,median,0.254
sbgn,neato,stored,stress,0.05,64,rsqrt,0.000
sbgn,neato,stored,A1,0.005,8,fit,0.065
sbgn,neato,stored,A1,0.005,16,fit,0.032
sbgn,neato,stored,A1,0.005,32,fit,0.000
sbgn,neato,stored,A1,0.005,64,fit,0.000
sbgn,neato,stored,A1,0.01,8,fit,0.100
sbgn,neato,stored,A1,0.01,16,fit,0.052
sbgn,neato,stored,A1,0.01,32,fit,0.000
sbgn,neato,stored,A1,0.01,64,fit,0.000
sbgn,neato,stored,A1,0.02,8,fit,0.125
sbgn,neato,stored,A1,0.02,16,fit,0.059
sbgn,neato,stored,A1,0.02,32,fit,0.034
sbgn,neato,stored,A1,0.02,64,fit,0.000
sbgn,neato,stored,A1,0.05,8,fit,0.125
sbgn,neato,stored,A1,0.05,16,fit,0.067
sbgn,neato,stored,A1,0.05,32,fit,0.048
sbgn,neato,stored,A1,0.05,64,fit,0.029
bpmn,hand,stored,length,0.005,8,fit,0.000
bpmn,hand,stored,length,0.005,8,median,0.000
bpmn,hand,stored,length,0.005,8,rsqrt,0.000
bpmn,hand,stored,length,0.005,16,fit,0.000
bpmn,hand,stored,length,0.005,16,median,0.000
bpmn,hand,stored,length,0.005,16,rsqrt,0.000
bpmn,hand,stored,length,0.005,32,fit,0.000
bpmn,hand,stored,length,0.005,32,median,0.000
bpmn,hand,stored,length,0.005,32,rsqrt,0.000
bpmn,hand,stored,length,0.005,64,fit,0.000
bpmn,hand,stored,length,0.005,64,median,0.000
bpmn,hand,stored,length,0.005,64,rsqrt,0.000
bpmn,hand,stored,length,0.01,8,fit,0.000
bpmn,hand,stored,length,0.01,8,median,0.000
bpmn,hand,stored,length,0.01,8,rsqrt,0.000
bpmn,hand,stored,length,0.01,16,fit,0.000
bpmn,hand,stored,length,0.01,16,median,0.000
bpmn,hand,stored,length,0.01,16,rsqrt,0.000
bpmn,hand,stored,length,0.01,32,fit,0.000
bpmn,hand,stored,length,0.01,32,median,0.000
bpmn,hand,stored,length,0.01,32,rsqrt,0.000
bpmn,hand,stored,length,0.01,64,fit,0.000
bpmn,hand,stored,length,0.01,64,median,0.000
bpmn,hand,stored,length,0.01,64,rsqrt,0.000
bpmn,hand,stored,length,0.02,8,fit,0.000
bpmn,hand,stored,length,0.02,8,median,0.058
bpmn,hand,stored,length,0.02,8,rsqrt,0.000
bpmn,hand,stored,length,0.02,16,fit,0.000
bpmn,hand,stored,length,0.02,16,median,0.048
bpmn,hand,stored,length,0.02,16,rsqrt,0.000
bpmn,hand,stored,length,0.02,32,fit,0.000
bpmn,hand,stored,length,0.02,32,median,0.042
bpmn,hand,stored,length,0.02,32,rsqrt,0.000
bpmn,hand,stored,length,0.02,64,fit,0.000
bpmn,hand,stored,length,0.02,64,median,0.042
bpmn,hand,stored,length,0.02,64,rsqrt,0.000
bpmn,hand,stored,length,0.05,8,fit,0.000
bpmn,hand,stored,length,0.05,8,median,0.173
bpmn,hand,stored,length,0.05,8,rsqrt,0.000
bpmn,hand,stored,length,0.05,16,fit,0.000
bpmn,hand,stored,length,0.05,16,median,0.133
bpmn,hand,stored,length,0.05,16,rsqrt,0.000
bpmn,hand,stored,length,0.05,32,fit,0.000
bpmn,hand,stored,length,0.05,32,median,0.122
bpmn,hand,stored,length,0.05,32,rsqrt,0.000
bpmn,hand,stored,length,0.05,64,fit,0.000
bpmn,hand,stored,length,0.05,64,median,0.118
bpmn,hand,stored,length,0.05,64,rsqrt,0.000
bpmn,hand,stored,stress,0.005,8,fit,0.000
bpmn,hand,stored,stress,0.005,8,median,0.000
bpmn,hand,stored,stress,0.005,8,rsqrt,0.000
bpmn,hand,stored,stress,0.005,16,fit,0.000
bpmn,hand,stored,stress,0.005,16,median,0.000
bpmn,hand,stored,stress,0.005,16,rsqrt,0.000
bpmn,hand,stored,stress,0.005,32,fit,0.000
bpmn,hand,stored,stress,0.005,32,median,0.000
bpmn,hand,stored,stress,0.005,32,rsqrt,0.000
bpmn,hand,stored,stress,0.005,64,fit,0.000
bpmn,hand,stored,stress,0.005,64,median,0.000
bpmn,hand,stored,stress,0.005,64,rsqrt,0.000
bpmn,hand,stored,stress,0.01,8,fit,0.000
bpmn,hand,stored,stress,0.01,8,median,0.000
bpmn,hand,stored,stress,0.01,8,rsqrt,0.000
bpmn,hand,stored,stress,0.01,16,fit,0.000
bpmn,hand,stored,stress,0.01,16,median,0.000
bpmn,hand,stored,stress,0.01,16,rsqrt,0.000
bpmn,hand,stored,stress,0.01,32,fit,0.000
bpmn,hand,stored,stress,0.01,32,median,0.000
bpmn,hand,stored,stress,0.01,32,rsqrt,0.000
bpmn,hand,stored,stress,0.01,64,fit,0.000
bpmn,hand,stored,stress,0.01,64,median,0.000
bpmn,hand,stored,stress,0.01,64,rsqrt,0.000
bpmn,hand,stored,stress,0.02,8,fit,0.000
bpmn,hand,stored,stress,0.02,8,median,0.000
bpmn,hand,stored,stress,0.02,8,rsqrt,0.000
bpmn,hand,stored,stress,0.02,16,fit,0.000
bpmn,hand,stored,stress,0.02,16,median,0.000
bpmn,hand,stored,stress,0.02,16,rsqrt,0.000
bpmn,hand,stored,stress,0.02,32,fit,0.000
bpmn,hand,stored,stress,0.02,32,median,0.000
bpmn,hand,stored,stress,0.02,32,rsqrt,0.000
bpmn,hand,stored,stress,0.02,64,fit,0.000
bpmn,hand,stored,stress,0.02,64,median,0.000
bpmn,hand,stored,stress,0.02,64,rsqrt,0.000
bpmn,hand,stored,stress,0.05,8,fit,0.000
bpmn,hand,stored,stress,0.05,8,median,0.047
bpmn,hand,stored,stress,0.05,8,rsqrt,0.000
bpmn,hand,stored,stress,0.05,16,fit,0.000
bpmn,hand,stored,stress,0.05,16,median,0.041
bpmn,hand,stored,stress,0.05,16,rsqrt,0.000
bpmn,hand,stored,stress,0.05,32,fit,0.000
bpmn,hand,stored,stress,0.05,32,median,0.040
bpmn,hand,stored,stress,0.05,32,rsqrt,0.000
bpmn,hand,stored,stress,0.05,64,fit,0.000
bpmn,hand,stored,stress,0.05,64,median,0.039
bpmn,hand,stored,stress,0.05,64,rsqrt,0.000
bpmn,hand,stored,A1,0.005,8,fit,0.918
bpmn,hand,stored,A1,0.005,16,fit,0.896
bpmn,hand,stored,A1,0.005,32,fit,0.875
bpmn,hand,stored,A1,0.005,64,fit,0.838
bpmn,hand,stored,A1,0.01,8,fit,0.930
bpmn,hand,stored,A1,0.01,16,fit,0.914
bpmn,hand,stored,A1,0.01,32,fit,0.886
bpmn,hand,stored,A1,0.01,64,fit,0.860
bpmn,hand,stored,A1,0.02,8,fit,0.925
bpmn,hand,stored,A1,0.02,16,fit,0.912
bpmn,hand,stored,A1,0.02,32,fit,0.897
bpmn,hand,stored,A1,0.02,64,fit,0.864
bpmn,hand,stored,A1,0.05,8,fit,0.929
bpmn,hand,stored,A1,0.05,16,fit,0.871
bpmn,hand,stored,A1,0.05,32,fit,0.833
bpmn,hand,stored,A1,0.05,64,fit,0.800
bpmn,hand,chords,length,0.005,8,fit,0.000
bpmn,hand,chords,length,0.005,8,median,0.000
bpmn,hand,chords,length,0.005,8,rsqrt,0.000
bpmn,hand,chords,length,0.005,16,fit,0.000
bpmn,hand,chords,length,0.005,16,median,0.000
bpmn,hand,chords,length,0.005,16,rsqrt,0.000
bpmn,hand,chords,length,0.005,32,fit,0.000
bpmn,hand,chords,length,0.005,32,median,0.000
bpmn,hand,chords,length,0.005,32,rsqrt,0.000
bpmn,hand,chords,length,0.005,64,fit,0.000
bpmn,hand,chords,length,0.005,64,median,0.000
bpmn,hand,chords,length,0.005,64,rsqrt,0.000
bpmn,hand,chords,length,0.01,8,fit,0.000
bpmn,hand,chords,length,0.01,8,median,0.000
bpmn,hand,chords,length,0.01,8,rsqrt,0.000
bpmn,hand,chords,length,0.01,16,fit,0.000
bpmn,hand,chords,length,0.01,16,median,0.000
bpmn,hand,chords,length,0.01,16,rsqrt,0.000
bpmn,hand,chords,length,0.01,32,fit,0.000
bpmn,hand,chords,length,0.01,32,median,0.000
bpmn,hand,chords,length,0.01,32,rsqrt,0.000
bpmn,hand,chords,length,0.01,64,fit,0.000
bpmn,hand,chords,length,0.01,64,median,0.000
bpmn,hand,chords,length,0.01,64,rsqrt,0.000
bpmn,hand,chords,length,0.02,8,fit,0.000
bpmn,hand,chords,length,0.02,8,median,0.058
bpmn,hand,chords,length,0.02,8,rsqrt,0.000
bpmn,hand,chords,length,0.02,16,fit,0.000
bpmn,hand,chords,length,0.02,16,median,0.048
bpmn,hand,chords,length,0.02,16,rsqrt,0.000
bpmn,hand,chords,length,0.02,32,fit,0.000
bpmn,hand,chords,length,0.02,32,median,0.042
bpmn,hand,chords,length,0.02,32,rsqrt,0.000
bpmn,hand,chords,length,0.02,64,fit,0.000
bpmn,hand,chords,length,0.02,64,median,0.042
bpmn,hand,chords,length,0.02,64,rsqrt,0.000
bpmn,hand,chords,length,0.05,8,fit,0.000
bpmn,hand,chords,length,0.05,8,median,0.173
bpmn,hand,chords,length,0.05,8,rsqrt,0.000
bpmn,hand,chords,length,0.05,16,fit,0.000
bpmn,hand,chords,length,0.05,16,median,0.133
bpmn,hand,chords,length,0.05,16,rsqrt,0.000
bpmn,hand,chords,length,0.05,32,fit,0.000
bpmn,hand,chords,length,0.05,32,median,0.122
bpmn,hand,chords,length,0.05,32,rsqrt,0.000
bpmn,hand,chords,length,0.05,64,fit,0.000
bpmn,hand,chords,length,0.05,64,median,0.118
bpmn,hand,chords,length,0.05,64,rsqrt,0.000
bpmn,hand,chords,stress,0.005,8,fit,0.000
bpmn,hand,chords,stress,0.005,8,median,0.000
bpmn,hand,chords,stress,0.005,8,rsqrt,0.000
bpmn,hand,chords,stress,0.005,16,fit,0.000
bpmn,hand,chords,stress,0.005,16,median,0.000
bpmn,hand,chords,stress,0.005,16,rsqrt,0.000
bpmn,hand,chords,stress,0.005,32,fit,0.000
bpmn,hand,chords,stress,0.005,32,median,0.000
bpmn,hand,chords,stress,0.005,32,rsqrt,0.000
bpmn,hand,chords,stress,0.005,64,fit,0.000
bpmn,hand,chords,stress,0.005,64,median,0.000
bpmn,hand,chords,stress,0.005,64,rsqrt,0.000
bpmn,hand,chords,stress,0.01,8,fit,0.000
bpmn,hand,chords,stress,0.01,8,median,0.000
bpmn,hand,chords,stress,0.01,8,rsqrt,0.000
bpmn,hand,chords,stress,0.01,16,fit,0.000
bpmn,hand,chords,stress,0.01,16,median,0.000
bpmn,hand,chords,stress,0.01,16,rsqrt,0.000
bpmn,hand,chords,stress,0.01,32,fit,0.000
bpmn,hand,chords,stress,0.01,32,median,0.000
bpmn,hand,chords,stress,0.01,32,rsqrt,0.000
bpmn,hand,chords,stress,0.01,64,fit,0.000
bpmn,hand,chords,stress,0.01,64,median,0.000
bpmn,hand,chords,stress,0.01,64,rsqrt,0.000
bpmn,hand,chords,stress,0.02,8,fit,0.000
bpmn,hand,chords,stress,0.02,8,median,0.000
bpmn,hand,chords,stress,0.02,8,rsqrt,0.000
bpmn,hand,chords,stress,0.02,16,fit,0.000
bpmn,hand,chords,stress,0.02,16,median,0.000
bpmn,hand,chords,stress,0.02,16,rsqrt,0.000
bpmn,hand,chords,stress,0.02,32,fit,0.000
bpmn,hand,chords,stress,0.02,32,median,0.000
bpmn,hand,chords,stress,0.02,32,rsqrt,0.000
bpmn,hand,chords,stress,0.02,64,fit,0.000
bpmn,hand,chords,stress,0.02,64,median,0.000
bpmn,hand,chords,stress,0.02,64,rsqrt,0.000
bpmn,hand,chords,stress,0.05,8,fit,0.000
bpmn,hand,chords,stress,0.05,8,median,0.047
bpmn,hand,chords,stress,0.05,8,rsqrt,0.000
bpmn,hand,chords,stress,0.05,16,fit,0.000
bpmn,hand,chords,stress,0.05,16,median,0.041
bpmn,hand,chords,stress,0.05,16,rsqrt,0.000
bpmn,hand,chords,stress,0.05,32,fit,0.000
bpmn,hand,chords,stress,0.05,32,median,0.040
bpmn,hand,chords,stress,0.05,32,rsqrt,0.000
bpmn,hand,chords,stress,0.05,64,fit,0.000
bpmn,hand,chords,stress,0.05,64,median,0.039
bpmn,hand,chords,stress,0.05,64,rsqrt,0.000
bpmn,hand,chords,A1,0.005,8,fit,0.918
bpmn,hand,chords,A1,0.005,16,fit,0.896
bpmn,hand,chords,A1,0.005,32,fit,0.875
bpmn,hand,chords,A1,0.005,64,fit,0.838
bpmn,hand,chords,A1,0.01,8,fit,0.930
bpmn,hand,chords,A1,0.01,16,fit,0.914
bpmn,hand,chords,A1,0.01,32,fit,0.886
bpmn,hand,chords,A1,0.01,64,fit,0.860
bpmn,hand,chords,A1,0.02,8,fit,0.925
bpmn,hand,chords,A1,0.02,16,fit,0.912
bpmn,hand,chords,A1,0.02,32,fit,0.897
bpmn,hand,chords,A1,0.02,64,fit,0.864
bpmn,hand,chords,A1,0.05,8,fit,0.929
bpmn,hand,chords,A1,0.05,16,fit,0.871
bpmn,hand,chords,A1,0.05,32,fit,0.833
bpmn,hand,chords,A1,0.05,64,fit,0.800
bpmn,neato,stored,length,0.005,8,fit,0.105
bpmn,neato,stored,length,0.005,8,median,0.125
bpmn,neato,stored,length,0.005,8,rsqrt,0.000
bpmn,neato,stored,length,0.005,16,fit,0.077
bpmn,neato,stored,length,0.005,16,median,0.098
bpmn,neato,stored,length,0.005,16,rsqrt,0.000
bpmn,neato,stored,length,0.005,32,fit,0.067
bpmn,neato,stored,length,0.005,32,median,0.089
bpmn,neato,stored,length,0.005,32,rsqrt,0.000
bpmn,neato,stored,length,0.005,64,fit,0.067
bpmn,neato,stored,length,0.005,64,median,0.086
bpmn,neato,stored,length,0.005,64,rsqrt,0.000
bpmn,neato,stored,length,0.01,8,fit,0.268
bpmn,neato,stored,length,0.01,8,median,0.306
bpmn,neato,stored,length,0.01,8,rsqrt,0.000
bpmn,neato,stored,length,0.01,16,fit,0.222
bpmn,neato,stored,length,0.01,16,median,0.250
bpmn,neato,stored,length,0.01,16,rsqrt,0.000
bpmn,neato,stored,length,0.01,32,fit,0.200
bpmn,neato,stored,length,0.01,32,median,0.224
bpmn,neato,stored,length,0.01,32,rsqrt,0.000
bpmn,neato,stored,length,0.01,64,fit,0.190
bpmn,neato,stored,length,0.01,64,median,0.208
bpmn,neato,stored,length,0.01,64,rsqrt,0.000
bpmn,neato,stored,length,0.02,8,fit,0.500
bpmn,neato,stored,length,0.02,8,median,0.529
bpmn,neato,stored,length,0.02,8,rsqrt,0.000
bpmn,neato,stored,length,0.02,16,fit,0.417
bpmn,neato,stored,length,0.02,16,median,0.455
bpmn,neato,stored,length,0.02,16,rsqrt,0.000
bpmn,neato,stored,length,0.02,32,fit,0.353
bpmn,neato,stored,length,0.02,32,median,0.400
bpmn,neato,stored,length,0.02,32,rsqrt,0.000
bpmn,neato,stored,length,0.02,64,fit,0.350
bpmn,neato,stored,length,0.02,64,median,0.393
bpmn,neato,stored,length,0.02,64,rsqrt,0.000
bpmn,neato,stored,length,0.05,8,fit,0.812
bpmn,neato,stored,length,0.05,8,median,0.812
bpmn,neato,stored,length,0.05,8,rsqrt,0.000
bpmn,neato,stored,length,0.05,16,fit,0.725
bpmn,neato,stored,length,0.05,16,median,0.726
bpmn,neato,stored,length,0.05,16,rsqrt,0.000
bpmn,neato,stored,length,0.05,32,fit,0.652
bpmn,neato,stored,length,0.05,32,median,0.658
bpmn,neato,stored,length,0.05,32,rsqrt,0.000
bpmn,neato,stored,length,0.05,64,fit,0.620
bpmn,neato,stored,length,0.05,64,median,0.627
bpmn,neato,stored,length,0.05,64,rsqrt,0.000
bpmn,neato,stored,stress,0.005,8,fit,0.953
bpmn,neato,stored,stress,0.005,8,median,0.000
bpmn,neato,stored,stress,0.005,8,rsqrt,0.000
bpmn,neato,stored,stress,0.005,16,fit,0.941
bpmn,neato,stored,stress,0.005,16,median,0.000
bpmn,neato,stored,stress,0.005,16,rsqrt,0.000
bpmn,neato,stored,stress,0.005,32,fit,0.933
bpmn,neato,stored,stress,0.005,32,median,0.000
bpmn,neato,stored,stress,0.005,32,rsqrt,0.000
bpmn,neato,stored,stress,0.005,64,fit,0.933
bpmn,neato,stored,stress,0.005,64,median,0.000
bpmn,neato,stored,stress,0.005,64,rsqrt,0.000
bpmn,neato,stored,stress,0.01,8,fit,1.000
bpmn,neato,stored,stress,0.01,8,median,0.051
bpmn,neato,stored,stress,0.01,8,rsqrt,0.000
bpmn,neato,stored,stress,0.01,16,fit,0.969
bpmn,neato,stored,stress,0.01,16,median,0.050
bpmn,neato,stored,stress,0.01,16,rsqrt,0.000
bpmn,neato,stored,stress,0.01,32,fit,0.962
bpmn,neato,stored,stress,0.01,32,median,0.050
bpmn,neato,stored,stress,0.01,32,rsqrt,0.000
bpmn,neato,stored,stress,0.01,64,fit,0.961
bpmn,neato,stored,stress,0.01,64,median,0.050
bpmn,neato,stored,stress,0.01,64,rsqrt,0.000
bpmn,neato,stored,stress,0.02,8,fit,1.000
bpmn,neato,stored,stress,0.02,8,median,0.125
bpmn,neato,stored,stress,0.02,8,rsqrt,0.000
bpmn,neato,stored,stress,0.02,16,fit,1.000
bpmn,neato,stored,stress,0.02,16,median,0.118
bpmn,neato,stored,stress,0.02,16,rsqrt,0.000
bpmn,neato,stored,stress,0.02,32,fit,1.000
bpmn,neato,stored,stress,0.02,32,median,0.111
bpmn,neato,stored,stress,0.02,32,rsqrt,0.000
bpmn,neato,stored,stress,0.02,64,fit,1.000
bpmn,neato,stored,stress,0.02,64,median,0.111
bpmn,neato,stored,stress,0.02,64,rsqrt,0.000
bpmn,neato,stored,stress,0.05,8,fit,1.000
bpmn,neato,stored,stress,0.05,8,median,0.382
bpmn,neato,stored,stress,0.05,8,rsqrt,0.000
bpmn,neato,stored,stress,0.05,16,fit,1.000
bpmn,neato,stored,stress,0.05,16,median,0.350
bpmn,neato,stored,stress,0.05,16,rsqrt,0.000
bpmn,neato,stored,stress,0.05,32,fit,1.000
bpmn,neato,stored,stress,0.05,32,median,0.345
bpmn,neato,stored,stress,0.05,32,rsqrt,0.000
bpmn,neato,stored,stress,0.05,64,fit,1.000
bpmn,neato,stored,stress,0.05,64,median,0.345
bpmn,neato,stored,stress,0.05,64,rsqrt,0.000
bpmn,neato,stored,A1,0.005,8,fit,0.062
bpmn,neato,stored,A1,0.005,16,fit,0.031
bpmn,neato,stored,A1,0.005,32,fit,0.000
bpmn,neato,stored,A1,0.005,64,fit,0.000
bpmn,neato,stored,A1,0.01,8,fit,0.101
bpmn,neato,stored,A1,0.01,16,fit,0.050
bpmn,neato,stored,A1,0.01,32,fit,0.000
bpmn,neato,stored,A1,0.01,64,fit,0.000
bpmn,neato,stored,A1,0.02,8,fit,0.118
bpmn,neato,stored,A1,0.02,16,fit,0.062
bpmn,neato,stored,A1,0.02,32,fit,0.030
bpmn,neato,stored,A1,0.02,64,fit,0.000
bpmn,neato,stored,A1,0.05,8,fit,0.105
bpmn,neato,stored,A1,0.05,16,fit,0.067
bpmn,neato,stored,A1,0.05,32,fit,0.038
bpmn,neato,stored,A1,0.05,64,fit,0.000
